QKEY,DEVICE_TYPE_W144,SMUSE_a_W144,SMUSE_c_W144,SMUSE_d_W144,SMUSE_i_W144,SMUSE2_a_W144,SMUSE2_c_W144,SMUSE2_d_W144,SMUSE2_i_W144,SOCIALNEWS2_a_W144,SOCIALNEWS2_c_W144,SOCIALNEWS2_d_W144,SOCIALNEWS2_i_W144,FBWHY_a_W144,FBWHY_b_W144,FBWHY_c_W144,FBWHY_d_W144,FBWHY_e_W144,FBWHY_f_W144,FBWHY_g_W144,FBDEMOCRACY_W144,FBSOURCE_a_W144,FBSOURCE_b_W144,FBSOURCE_c_W144,FBSOURCE_d_W144,FBSOURCE_e_W144,FBTYPE_a_W144,FBTYPE_b_W144,FBTYPE_c_W144,FBTYPE_d_W144,FBACC_W144,FBINFLUENCE_W144,FBELSE_W144,FBWORN_W144,FBHARASS_W144,FBSHARE_W144,FBSHAREPOL_W144,FBWHYSP_a_W144,FBWHYSP_b_W144,FBWHYSP_c_W144,FBWHYSP_d_W144,FBWHYNTSP_a_W144,FBWHYNTSP_b_W144,FBWHYNTSP_c_W144,FBWHYNTSP_d_W144,FBSEEPOL_W144,FBPOLIDEO_W144,FBFREEEXP_W144,IGWHY_a_W144,IGWHY_b_W144,IGWHY_c_W144,IGWHY_d_W144,IGWHY_e_W144,IGWHY_f_W144,IGWHY_g_W144,IGDEMOCRACY_W144,IGSOURCE_a_W144,IGSOURCE_b_W144,IGSOURCE_c_W144,IGSOURCE_d_W144,IGSOURCE_e_W144,IGTYPE_a_W144,IGTYPE_b_W144,IGTYPE_c_W144,IGTYPE_d_W144,IGACC_W144,IGINFLUENCE_W144,IGELSE_W144,IGWORN_W144,IGHARASS_W144,IGSHARE_W144,IGSHAREPOL_W144,IGWHYSP_a_W144,IGWHYSP_b_W144,IGWHYSP_c_W144,IGWHYSP_d_W144,IGWHYNTSP_a_W144,IGWHYNTSP_b_W144,IGWHYNTSP_c_W144,IGWHYNTSP_d_W144,IGSEEPOL_W144,IGPOLIDEO_W144,IGFREEEXP_W144,XTWHY_a_W144,XTWHY_b_W144,XTWHY_c_W144,XTWHY_d_W144,XTWHY_e_W144,XTWHY_f_W144,XTWHY_g_W144,XTDEMOCRACY_W144,XTSOURCE_a_W144,XTSOURCE_b_W144,XTSOURCE_c_W144,XTSOURCE_d_W144,XTSOURCE_e_W144,XTTYPE_a_W144,XTTYPE_b_W144,XTTYPE_c_W144,XTTYPE_d_W144,XTACC_W144,XTINFLUENCE_W144,XTELSE_W144,XTWORN_W144,XTHARASS_W144,XTSHARE_W144,XTSHAREPOL_W144,XTWHYSP_a_W144,XTWHYSP_b_W144,XTWHYSP_c_W144,XTWHYSP_d_W144,XTWHYNTSP_a_W144,XTWHYNTSP_b_W144,XTWHYNTSP_c_W144,XTWHYNTSP_d_W144,XTSEEPOL_W144,XTPOLIDEO_W144,XTFREEEXP_W144,TTWHY_a_W144,TTWHY_b_W144,TTWHY_c_W144,TTWHY_d_W144,TTWHY_e_W144,TTWHY_f_W144,TTWHY_g_W144,TTDEMOCRACY_W144,TTSOURCE_a_W144,TTSOURCE_b_W144,TTSOURCE_c_W144,TTSOURCE_d_W144,TTSOURCE_e_W144,TTTYPE_a_W144,TTTYPE_b_W144,TTTYPE_c_W144,TTTYPE_d_W144,TTACC_W144,TTINFLUENCE_W144,TTELSE_W144,TTWORN_W144,TTHARASS_W144,TTSHARE_W144,TTSHAREPOL_W144,TTWHYSP_a_W144,TTWHYSP_b_W144,TTWHYSP_c_W144,TTWHYSP_d_W144,TTWHYNTSP_a_W144,TTWHYNTSP_b_W144,TTWHYNTSP_c_W144,TTWHYNTSP_d_W144,TTSEEPOL_W144,TTPOLIDEO_W144,TTFREEEXP_W144,F_METRO,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_RACETHNMOD,F_MARITAL,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_INC_TIER2
201801187900,2,1,1,1,2,5,5,3,,2,2,2,,3,3,3,1,1,3,2,99,,,,,,1,1,1,1,,,,,1,1,5,,,,,1,2,3,3,3,2,2,3,3,3,1,2,3,2,3,,,,,,1,1,1,1,,,,,3,2,,,,,,,,,,4,4,99,2,2,3,2,3,3,3,1,,,,,,1,1,1,2,,,,,99,2,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,6,1,1,1,,1,1,1,9,2,2,3
202201009023,2,1,2,1,2,4,,6,,2,,2,,3,3,2,3,1,3,3,2,,,,,,2,2,2,2,,,,,2,2,,,,,,,,,,5,,1,3,3,3,3,1,3,3,2,,,,,,2,2,2,2,,,,,2,2,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,4,1,3,3,99,9,9,1,9,3,2,3
201501601270,2,1,2,2,2,3,,,,2,,,,3,3,3,1,2,3,2,3,,,,,,2,2,2,2,,,,,2,2,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,2,4,1,1,4,1,1,9,1,7,99,2,2
226237,1,1,2,1,2,5,,6,,2,,2,,3,3,3,2,1,2,3,2,,,,,,1,2,1,2,,,,,1,1,4,3,2,3,1,,,,,4,2,1,3,3,3,2,1,3,3,3,,,,,,2,2,2,2,,,,,1,2,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,1,5,1,1,2,,2,4,1,5,5,1,2
201801090751,2,1,2,1,2,2,,4,,2,,2,,2,3,2,2,1,2,2,2,,,,,,1,1,1,2,,,,,1,2,,,,,,,,,,3,3,2,3,3,3,2,1,3,3,3,,,,,,2,2,1,2,,,,,2,2,,,,,,,,,,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,4,1,1,3,1,1,1,1,8,2,2,2
201801135306,2,1,2,1,1,3,,4,3,2,,2,2,3,3,3,2,1,1,3,2,,,,,,2,2,1,2,,,,,1,1,5,,,,,1,1,3,3,3,2,2,3,3,3,1,1,2,3,3,,,,,,2,2,2,2,,,,,2,1,5,,,,,2,1,3,3,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,1,3,3,3,3,,,,,,1,2,1,2,,,,,1,2,,,,,,,,,,3,2,1,1,4,2,1,5,1,1,2,,2,4,1,7,4,1,2
201501606632,3,1,2,2,2,2,,,,1,,,,2,2,2,2,1,1,3,2,1,1,2,2,2,1,1,1,1,2,1,3,3,1,2,,,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,3,1,6,3,2,2,4,1,3,5,1,2
202201051893,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,2,3,1,1,1,,1,1,1,3,2,2,2
202301000284,2,2,2,1,2,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,1,2,3,3,2,3,2,2,,,,,,,,,,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,5,2,1,,1,2,2,5,4,1,2
201501728313,2,1,2,2,2,4,,,,2,,,,3,3,3,2,1,1,2,1,,,,,,1,1,1,1,,,,,2,1,5,,,,,2,1,1,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,2,4,1,1,3,2,2,3,1,8,3,2,2
201801116962,1,1,1,1,1,2,4,4,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,2,3,3,3,1,1,1,2,2,1,1,1,1,3,2,3,3,3,1,5,,,,,3,3,1,3,3,3,1,3,3,1,2,2,3,3,3,1,2,1,2,2,1,1,1,1,3,2,3,3,3,1,5,,,,,3,3,1,3,3,3,1,3,3,2,1,2,3,2,3,1,2,2,2,1,1,1,1,1,3,2,3,3,3,1,5,,,,,3,3,1,3,3,3,1,1,3,2,1,6,2,3,3,2,2,3,1,6,3,1,3
201801039531,2,1,2,2,2,3,,,,2,,,,3,3,3,2,1,2,3,3,,,,,,1,1,1,1,,,,,1,2,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,5,4,3,1,,1,1,1,9,1,1,3
202001002271,1,1,2,1,1,2,,6,4,1,,2,2,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,4,2,1,4,1,1,3,1,,,,,3,3,1,3,3,3,3,1,3,3,3,,,,,,2,2,2,2,,,,,2,2,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,1,3,2,2,3,,,,,,1,2,1,2,,,,,3,2,,,,,,,,,,3,4,1,1,3,2,1,5,1,6,1,,1,1,1,9,2,1,3
201801079435,2,1,1,1,2,3,3,3,,2,1,2,,3,3,3,3,1,3,3,2,,,,,,2,2,1,2,,,,,2,1,5,,,,,2,1,3,3,3,2,2,3,3,3,1,2,2,3,3,,,,,,1,1,2,2,,,,,2,2,,,,,,,,,,3,4,1,2,2,3,2,3,3,3,3,2,2,2,2,2,1,1,1,1,3,2,3,3,2,1,5,,,,,1,2,3,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,6,1,5,1,,1,2,1,99,3,2,99
201701630863,2,1,2,2,2,2,,,,2,,,,3,3,2,2,1,1,3,2,,,,,,1,2,2,2,,,,,3,1,5,,,,,3,3,1,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,3,1,6,4,2,2,3,1,7,3,2,2
202201035427,2,1,2,1,1,4,,6,6,2,,1,1,2,1,1,3,2,1,1,2,,,,,,1,2,1,1,,,,,2,1,1,2,1,1,1,,,,,2,3,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,3,2,2,1,1,2,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,3,2,2,,,,,,,,,,1,2,1,2,2,2,2,3,2,2,3,2,2,3,1,1,3,1,1
202201036158,1,1,2,1,1,3,,3,6,2,,2,2,3,3,2,2,1,2,3,3,,,,,,1,1,1,2,,,,,1,1,5,,,,,3,3,2,3,4,3,1,3,3,3,3,1,2,3,3,,,,,,1,1,1,2,,,,,2,1,5,,,,,3,3,2,3,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,3,2,3,3,,,,,,1,2,1,2,,,,,2,2,,,,,,,,,,4,3,1,1,3,2,1,6,1,1,3,2,2,4,1,99,4,2,99
201501725406,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,5,99,3,3,2,2,3,1,9,3,1,3
201501729167,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,5,1,1,4,2,2,4,1,9,5,1,3
201801026612,2,1,2,1,2,2,,5,,1,,2,,1,2,3,2,1,2,3,2,1,1,2,1,2,1,1,1,1,3,2,1,3,2,1,5,,,,,1,1,1,3,3,2,2,3,3,3,3,2,2,3,3,,,,,,1,2,2,2,,,,,2,1,5,,,,,1,1,2,3,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,5,3,1,3,2,2,4,1,7,5,1,2
201501653278,2,1,2,2,2,2,,,,2,,,,3,3,3,2,2,2,3,2,,,,,,1,2,1,1,,,,,2,2,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,5,3,6,1,,1,1,1,9,2,1,3
201801091280,2,1,2,1,2,5,,6,,2,,2,,3,3,3,2,1,3,3,2,,,,,,1,1,1,2,,,,,2,1,5,,,,,2,3,1,3,3,4,1,3,3,3,2,1,1,3,3,,,,,,2,99,1,2,,,,,2,1,5,,,,,2,3,1,3,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,6,1,6,3,1,1,2,1,3,3,1,1
201801164410,2,1,2,2,2,4,,,,2,,,,3,3,3,1,2,3,3,3,,,,,,2,2,2,2,,,,,3,2,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,6,3,2,3,1,1,2,3,2,3,2,1
201801085261,2,1,2,2,2,2,,,,1,,,,3,3,3,2,1,2,3,3,2,1,2,2,2,1,1,1,1,2,2,1,3,2,1,4,2,3,3,3,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,5,1,1,1,,1,2,1,9,3,3,3
202001020422,1,1,2,1,2,4,,6,,2,,2,,3,3,3,1,1,2,2,1,,,,,,1,1,1,2,,,,,3,2,,,,,,,,,,4,4,1,3,3,3,2,1,2,2,3,,,,,,1,1,1,2,,,,,3,2,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,3,1,1,3,2,2,4,1,7,4,2,2
202001009124,1,1,2,1,2,1,,2,,1,,2,,1,2,2,1,1,1,3,1,1,1,1,2,2,1,1,1,1,3,1,3,3,2,1,5,,,,,3,1,1,1,3,4,1,1,3,1,1,1,1,1,1,,,,,,1,1,1,1,,,,,2,1,5,,,,,3,1,1,1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,5,1,1,1,,1,2,1,7,3,1,2
202201049235,1,2,2,1,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,1,5,,,,,2,3,3,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,6,5,1,2,,2,4,1,9,4,1,3
202001006593,2,1,2,1,1,3,,3,3,2,,2,1,3,3,3,2,1,3,3,1,,,,,,1,1,1,2,,,,,1,1,5,,,,,1,2,1,2,4,1,1,3,3,3,1,1,1,3,1,,,,,,1,2,2,2,,,,,3,1,5,,,,,2,2,1,2,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,3,1,3,1,1,2,2,2,2,1,1,1,1,4,3,2,4,2,2,,,,,,,,,,3,2,1,1,2,2,1,5,1,1,2,,2,4,1,9,4,2,2
201801096274,1,1,1,2,2,5,4,,,2,2,,,3,3,3,1,1,2,2,2,,,,,,1,99,1,2,,,,,2,2,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,2,3,1,2,2,,,,,,2,1,1,1,,,,,1,2,,,,,,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,6,1,1,3,2,2,3,1,99,3,2,99
202001011747,2,1,2,1,1,4,,3,4,1,,1,2,2,3,2,2,1,2,2,3,1,1,2,2,2,1,1,1,2,3,2,3,4,2,1,5,,,,,3,3,2,3,4,4,1,3,3,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,3,3,1,4,3,1,5,,,,,3,3,3,3,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,1,3,,,,,,1,2,1,2,,,,,2,2,,,,,,,,,,4,4,1,1,2,2,1,5,1,2,2,,2,4,1,8,4,1,2
201701607001,2,1,2,2,2,6,,,,2,,,,3,3,3,3,1,2,3,3,,,,,,2,2,2,2,,,,,99,2,,,,,,,,,,3,4,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,1,5,1,1,2,,2,4,1,9,4,1,3
201801042494,1,2,2,2,1,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,3,2,3,3,,,,,,1,1,1,2,,,,,2,2,,,,,,,,,,4,3,1,1,3,2,2,3,2,1,2,,2,3,1,9,3,2,3
202201030683,2,1,2,1,1,1,,4,1,1,,1,1,2,3,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,2,1,3,3,2,1,3,1,1,2,1,,,,,4,4,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,3,3,2,1,4,1,1,2,3,,,,,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,5,2,1,3,1,1,2,1,,,,,4,4,1,2,1,2,2,3,3,2,99,2,2,3,1,1,3,1,1
202101009342,2,1,1,1,1,4,4,3,2,2,2,2,1,3,3,3,3,1,3,3,2,,,,,,2,1,1,1,,,,,1,2,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,3,2,3,1,,,,,,1,1,1,1,,,,,1,2,,,,,,,,,,4,2,1,3,3,2,1,3,2,2,1,2,2,1,2,1,1,1,1,1,3,3,3,4,1,1,5,,,,,1,1,1,1,4,2,1,1,2,2,2,3,1,1,2,,2,4,1,4,4,1,2
194718,1,1,2,2,2,2,,,,2,,,,3,3,3,3,2,2,2,3,,,,,,1,2,1,2,,,,,1,1,5,,,,,3,3,3,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,2,3,1,1,1,,1,1,1,5,1,2,2
201801147551,2,2,2,1,2,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,3,2,1,2,1,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,6,1,1,2,,2,4,1,9,5,1,3
201801103867,2,1,1,1,2,2,4,4,,1,1,2,,2,3,3,2,1,1,1,3,2,1,2,2,1,1,99,1,2,1,3,3,3,1,1,5,,,,,1,3,3,3,3,4,1,2,3,3,2,1,2,2,3,,,,,,2,1,1,2,,,,,3,1,5,,,,,1,1,1,3,3,4,1,2,3,3,1,3,2,3,1,1,2,2,1,1,1,1,1,1,3,2,1,4,1,1,5,,,,,2,2,3,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,2,3,1,4,3,1,1,1,1,4,2,1,2
201801150805,1,1,2,2,2,3,,,,2,,,,3,3,3,3,3,3,2,2,,,,,,2,2,2,2,,,,,3,1,5,,,,,3,3,3,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,4,1,1,1,,1,1,1,8,2,2,2
202101002958,2,1,1,1,1,4,5,2,1,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,,,,,3,1,5,,,,,3,3,3,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,,,,,,1,1,1,1,,,,,2,2,,,,,,,,,,3,1,1,2,2,2,2,2,2,2,3,,,,,,2,2,2,2,,,,,2,1,3,2,2,2,2,,,,,4,1,1,1,2,2,3,1,3,6,2,,2,4,3,1,4,1,1
202001002467,1,1,2,2,2,2,,,,2,,,,3,3,2,2,1,3,3,3,,,,,,1,2,1,2,,,,,1,2,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,5,1,1,1,,1,2,1,9,3,2,3
201801146017,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,2,3,1,5,1,,1,1,1,9,1,3,3
202201034822,2,1,2,2,2,4,,,,2,,,,2,2,2,2,1,1,2,2,,,,,,1,1,1,2,,,,,2,1,3,3,3,3,1,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,2,1,1,3,1,1,2,1,3,3,1,1
202201000895,2,1,2,1,1,2,,4,4,2,,2,2,2,3,2,1,1,1,2,3,,,,,,1,1,1,1,,,,,1,1,5,,,,,3,1,3,1,3,4,1,3,3,2,2,1,1,2,3,,,,,,1,1,1,2,,,,,1,1,5,,,,,3,1,3,1,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,1,1,1,3,3,,,,,,1,2,2,2,,,,,2,2,,,,,,,,,,5,,1,1,2,2,3,2,2,2,4,2,2,3,3,1,3,1,1
202001011124,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,1,5,1,1,1,,1,1,1,7,2,3,2
201901018475,2,1,2,2,2,4,,,,2,,,,3,3,2,3,1,1,2,3,,,,,,1,1,1,1,,,,,3,1,5,,,,,3,1,1,3,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,5,2,4,2,,2,4,1,3,5,2,1
201801149954,1,1,2,2,2,2,,,,1,,,,1,1,3,1,3,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,3,1,1,2,1,1,3,1,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,2,3,1,5,2,,2,4,1,1,5,2,2
715486,2,1,2,2,2,3,,,,1,,,,2,2,3,1,1,2,3,2,1,1,2,1,2,1,1,1,1,3,1,1,3,3,1,2,3,2,2,1,,,,,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,3,1,1,3,1,1,1,1,9,2,1,2
202001009390,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,6,1,1,2,,2,4,1,9,5,1,3
201501728687,1,1,1,1,2,2,2,2,,1,1,2,,2,3,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3,1,5,,,,,3,3,3,3,3,4,1,3,3,1,1,3,1,3,3,,,,,,1,1,1,1,,,,,3,1,5,,,,,3,3,3,3,3,4,1,3,2,1,1,99,3,3,1,1,2,1,1,1,1,1,1,1,3,3,3,5,3,1,5,,,,,3,3,3,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,2,1,6,1,,1,2,1,6,3,2,2
201801071600,1,1,2,1,2,3,,5,,2,,2,,3,3,3,2,1,1,3,3,,,,,,1,1,1,1,,,,,3,1,3,3,2,3,1,,,,,3,2,1,3,3,3,2,1,3,3,3,,,,,,2,2,2,2,,,,,3,2,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,6,1,1,2,,2,4,1,9,4,1,3
